Date,Close_INTC,High_INTC,Low_INTC,Open_INTC,Volume_INTC,Period_INTC,Shares_Out_INTC,Market_Cap_INTC,Trailing_PE_INTC,Forward_PE_INTC,Total_Revenue_INTC,PS_Ratio_INTC,Total_Debt_INTC,Cash_Equivalents_INTC,TD_CE_Missing_INTC,Shares_Out_Missing_INTC,PE_Missing_INTC,PS_Missing_INTC,EV_INTC
2012-02-16,18.69061279296875,18.77420911154201,18.35623017611251,18.3910612004323,42450700,before_trump,,,-4.267263194741724,19.26867298244201,53100998656,,0.0,0.0,1,1,0,1,
2012-02-17,19.06679344177246,19.15735489847463,18.68364554657196,18.71151142784546,74254100,before_trump,,,-4.353149187619284,19.656488084301508,53100998656,,0.0,0.0,1,1,0,1,
2012-02-21,18.92049789428711,19.066791095534366,18.81600350980661,19.045891687150988,34911800,before_trump,,,-4.319748377691121,19.505667932254752,53100998656,,0.0,0.0,1,1,0,1,
2012-02-22,18.620946884155277,19.05285870208308,18.46768853777739,18.850835068081206,51973800,before_trump,,,-4.251357736108511,19.19685245789204,53100998656,,0.0,0.0,1,1,0,1,
2012-02-23,18.57218360900879,18.71151034991325,18.35622835645332,18.50252023855656,33800100,before_trump,,,-4.240224568266847,19.146581040215246,53100998656,,0.0,0.0,1,1,0,1,
2012-02-24,18.60005187988281,18.66971393057246,18.42589409572181,18.613983492789675,39309500,before_trump,,,-4.246587187187856,19.17531121637403,53100998656,,0.0,0.0,1,1,0,1,
2012-02-27,18.732410430908203,18.94836703523851,18.425893694142427,18.474657660049782,46022400,before_trump,,,-4.276806034453927,19.311763330833198,53100998656,,0.0,0.0,1,1,0,1,
2012-02-28,18.976226806640625,19.018024291353058,18.68364175621744,18.760271585455296,32820500,before_trump,,,-4.332471873662243,19.56312041921714,53100998656,,0.0,0.0,1,1,0,1,
2012-02-29,18.725440979003903,19.018026056584507,18.69757642951529,18.983195037544185,41856200,before_trump,,,-4.275214835389019,19.304578328870004,53100998656,,0.0,0.0,1,1,0,1,
2012-03-01,18.711509704589844,18.906565540667064,18.60701398815621,18.85083511197097,39413000,before_trump,,,-4.2720341791301015,19.290216190298807,53100998656,,0.0,0.0,1,1,0,1,
2012-03-02,18.75330924987793,18.82993909600541,18.648814850706696,18.739376308996864,29632800,before_trump,,,-4.28157745431003,19.333308505028793,53100998656,,0.0,0.0,1,1,0,1,
2012-03-05,18.48859024047852,18.74634300630566,18.363196428468168,18.74634300630566,32332200,before_trump,,,-4.2211393243101645,19.06040230977167,53100998656,,0.0,0.0,1,1,0,1,
2012-03-06,18.5373477935791,18.55127940109161,18.25172924444476,18.286560256302923,37196700,before_trump,,,-4.232271185748654,19.110667828432064,53100998656,,0.0,0.0,1,1,0,1,
2012-03-07,18.746339797973636,18.80903669324858,18.4746541375943,18.516451624871543,32720900,before_trump,,,-4.279986255245123,19.326123503065606,53100998656,,0.0,0.0,1,1,0,1,
2012-03-08,18.697572708129883,18.83689941399733,18.634875823361327,18.809033541336664,37261600,before_trump,,,-4.26885221646801,19.27584815271122,53100998656,,0.0,0.0,1,1,0,1,
2012-03-09,18.85780334472656,18.927466719289303,18.71847792431944,18.76724188789785,29396700,before_trump,,,-4.305434553590539,19.441034376006762,53100998656,,0.0,0.0,1,1,0,1,
2012-03-12,18.80207061767578,18.86476751426375,18.746340190566272,18.80903708715424,24006900,before_trump,,,-4.292710186683968,19.383577956366786,53100998656,,0.0,0.0,1,1,0,1,
2012-03-13,19.150390625,19.157357096117536,18.89263783724369,18.89263783724369,33796800,before_trump,,,-4.372235302511416,19.742670747422682,53100998656,,0.0,0.0,1,1,0,1,
2012-03-14,19.129491806030277,19.436009901133325,19.045896807459425,19.122526663414824,46835700,before_trump,,,-4.367463882655314,19.72112557322709,53100998656,,0.0,0.0,1,1,0,1,
2012-03-15,19.331506729125977,19.40117008218173,19.10858506232192,19.157349010845564,34191900,before_trump,,,-4.413586011215976,19.929388380542246,53100998656,,0.0,0.0,1,1,0,1,
2012-03-16,19.31758117675781,19.477806019928117,19.29668309295553,19.38027808560157,54672100,before_trump,,,-4.410406661360231,19.91503214098743,53100998656,,0.0,0.0,1,1,0,1,
2012-03-19,19.324541091918945,19.43600193011388,19.18521570853428,19.26881067282148,26937200,before_trump,,,-4.411995683086517,19.922207311256646,53100998656,,0.0,0.0,1,1,0,1,
2012-03-20,19.331506729125977,19.43600109435064,19.19914649119184,19.261843376070225,22684900,before_trump,,,-4.413586011215976,19.929388380542246,53100998656,,0.0,0.0,1,1,0,1,
