,Date,Time,open,high,low,close,volume,RSI_rsi,SMA_sma,EMA_ema,MACD_macd,MACD_macd_signal,MACD_macd_hist,STOCH_slow_k,STOCH_slow_d,ADX_adx,CCI_cci,ATR_atr,BBANDS_upper_band,BBANDS_middle_band,BBANDS_lower_band
4592,2025-05-06,10:30,112.65000000000002,113.20333333333333,112.58666666666666,113.048335,9288943.333333334,50.24292666666667,112.8975562,112.96736666666668,0.01931876333333334,0.15193842666666665,-0.13261829666666666,59.26137,49.28163333333333,27.012793666666667,-43.47125333333333,0.8145702266666666,115.41960666666667,113.39001333333333,111.36041666666667
4593,2025-05-06,10:35,113.025002,113.19,112.86,113.13,2151818.0,53.36469,112.25169,112.55937,-0.3170343,-0.50105676,0.18402246,97.466,72.82827,33.068845,27.21514,0.47635651,115.015098,112.64135,110.2676
4594,2025-05-06,10:40,113.125,113.23,112.975,113.035004,1707710.0,52.011882,112.46669,112.65449,-0.25434259,-0.45171393,0.19737134,91.90202,86.24133,30.85766,35.26311,0.46054568,114.79146,112.5676,110.34374
4595,2025-05-06,10:45,113.050003,113.25,112.855001,112.93,3162445.5,48.378145,112.740235,112.80019,-0.29986654,-0.33227982,0.03241328,72.49888,73.2975435,25.628725,-2.8934774999999995,0.562264435,115.104395,113.04493500000001,110.98547500000001
4596,2025-05-06,10:50,113.14,113.15,112.82,112.92,1706629.0,50.10044,112.78168,112.78608,-0.16166743,-0.35239877,0.19073133,86.4085,91.32861,27.27192,43.066481,0.43659294,114.33199,112.43085,110.52971
4597,2025-05-06,10:55,112.9101,112.97,112.7,112.715,1335670.0,47.1735,112.87055,112.77186,-0.15119748,-0.31215851,0.16096103,77.96527,86.68303,26.18357,38.5207,0.42469375,114.068533,112.35379,110.63905
4598,2025-05-06,11:00,112.71,112.9,112.63499999999999,112.76495,2553883.5,46.096181,112.775275,112.80085,-0.26603928,-0.28386247,0.017823194999999993,65.827265,67.168505,23.852365,-4.861319999999999,0.531699825,114.749345,112.913115,111.076885
4599,2025-05-06,11:05,112.835,112.93,112.58,112.62,690291.0,45.91022,112.89999,112.75237,-0.13177013,-0.24714473,0.11537461,72.95785,77.96881,24.55859,48.45412,0.40312882,113.68099,112.24277,110.80456
4600,2025-05-06,11:10,112.63,112.73,112.59,112.69,1773630.0,47.096661,112.90388,112.7399,-0.12504639,-0.22272506,0.097678673,69.39907,75.11341,23.96533,39.66927,0.38433414,113.71016,112.30277,110.89539
4601,2025-05-06,11:15,112.71,112.97444999999999,112.58,112.91499999999999,2286310.0,47.74465,112.686385,112.80545000000001,-0.237210545,-0.25322676,0.016016218,63.167674999999996,61.11431999999999,22.601447,0.9909549999999996,0.5112725149999999,114.65579,112.91212999999999,111.168475
4602,2025-05-06,11:20,112.765,113.115,112.7,113.029999,1591776.0,52.83807,112.86166,112.80114,-0.080327459,-0.17665265,0.096325187,84.93141,74.031237,21.60061,61.030898,0.37687843,113.80393,112.42378,111.043629
4603,2025-05-06,11:25,113.0049973,113.13,112.9,113.07,953466.0,53.48719,112.86554,112.85491,-0.050803571,-0.15148283,0.10067926,77.77767,76.8241,20.27041,66.79854,0.36638681,113.84835,112.4985,111.14866
4604,2025-05-06,11:30,113.065002,113.34666533333332,112.74166666666667,112.96596699999999,6338055.0,50.16174,112.97584,113.08020666666665,0.12852477566666667,0.23229835,-0.10377311166666665,60.131460000000004,60.27892133333333,20.859446666666667,-13.757380000000003,0.7493532566666667,114.89233666666667,113.27428666666667,111.65624000000001
4605,2025-05-06,11:35,113.065002,113.16,113.010002,113.055,866978.0,53.17647,112.87166,112.92854,-0.0097125458,-0.10329024,0.093577695,70.89557,74.98519,17.89625,75.35495,0.34155292,113.6338,112.7055,111.77721
4606,2025-05-06,11:40,113.050102,113.14,112.76,112.815,1234312.0,48.23089,112.88277,112.90583,-0.014817216,-0.085595636,0.07077842,35.074991,60.75096,17.16502,37.69234,0.34429895,113.49394,112.775,112.056066
4607,2025-05-06,11:45,112.8149,112.94,112.695,112.785,2207271.0,46.409478500000006,112.70389499999999,112.86197,-0.17769809,-0.1953859825,0.017687894500000002,44.52123,50.918875,18.993745,-15.060555,0.47024426500000005,114.41233,113.08837,111.764415
4608,2025-05-06,11:50,112.831,112.8998,112.63,112.685,1209723.0,45.62017,112.89,112.85113,-0.030267737,-0.063499383,0.033231647,15.67128,29.85056,16.29355,-47.48158,0.32808066,113.25349,112.86524,112.477
4609,2025-05-06,11:55,112.69,112.83,112.64,112.73,621839.0,46.69519,112.89444,112.82691,-0.036998687,-0.058199244,0.021200557,25.86248,26.77973,16.11483,-70.84052,0.31821793,113.22236,112.87974,112.53713
4610,2025-05-06,12:00,112.72,113.36000000000001,112.655,113.29235,2618158.0,52.268815000000004,112.86110500000001,112.92174354,-0.14018437900000003,-0.1789024415,0.038718064,65.63808900000001,45.829184999999995,17.84165,-7.630879999999999,0.4803523,114.301015,113.10561000000001,111.91020499999999
4611,2025-05-06,12:05,112.9049,112.9049,112.6201,112.6449,699777.0,45.23489,112.86777,112.803,-0.041186037,-0.049947258,0.0087612206,11.18915,31.028517,15.2577,-85.10273,0.30932348,113.22605,112.88674,112.54743
4612,2025-05-06,12:10,112.65,113.79,112.6,113.6797,2933633.0,62.67223,112.93551,112.97834,0.031415423,-0.033674721,0.065090145,90.88446,52.70251,16.12311,200.73962,0.37222912,113.40049,112.91872,112.43695
4613,2025-05-06,12:15,113.69,113.69,113.045,113.1838995,3228052.5,52.033500000000004,112.95067499999999,113.0284987,-0.0865891845,-0.1530546545,0.066465469,60.722575000000006,58.1663425,17.94851,96.622832,0.52044669,114.35598999999999,113.0958,111.835605
4614,2025-05-06,12:20,113.35,113.445,112.83,112.92,1715136.0,49.63371,112.95217,113.026121,0.050305575,-0.0016299402,0.051935515,28.098892,60.87043,16.16497,55.14634,0.3934015,113.43146,112.92397,112.41648
4615,2025-05-06,12:25,112.95,113.17,112.91,113.017899,1070451.0,51.091,112.97471,113.024477,0.048669762,0.0084300002,0.040239761,35.11758,42.28147,15.45764,45.92094,0.38387243,113.41699,112.91761,112.41824
4616,2025-05-06,12:30,113.010101,113.32333333333334,112.82333333333334,113.01710066666668,6013832.0,50.58936,113.18330206666667,113.14099923333333,0.16472894600000001,0.2608214486666667,-0.09609233833333335,51.77757,50.50671333333333,17.872896666666666,-8.77279,0.7505093233333332,114.66028333333333,113.29164333333334,111.92299666666668
4617,2025-05-06,12:35,113.1236,113.4,113.11,113.21,1285497.0,54.003196,113.0643,113.077073,0.066553898,0.027519104,0.039034794,51.26045,43.39492,14.85841,109.070924,0.36762462,113.46401,112.95243,112.44085
4618,2025-05-06,12:40,113.2131,113.39,112.96,113.010002,1295207.0,50.49724,113.095411,113.063659,0.058829209,0.033781125,0.025048084,34.45402,43.17374,14.37155,57.89996,0.37208003,113.4704,112.96094,112.45147
4619,2025-05-06,12:45,113.010002,113.050003,112.75,112.775,2422967.0,46.536964999999995,113.01284849999999,112.9826535,-0.0946806045,-0.116215697,0.021535092250000002,43.903515,48.834545,15.27755,-20.798925,0.496264155,114.21781,113.039255,111.8607
4620,2025-05-06,12:50,112.92,112.92,112.6201,112.825,1411821.0,47.31622,113.11709,112.99294,0.025944311,0.033997083,-0.0080527723,18.9074,26.7507,13.20725,-79.75569,0.35352116,113.45572,112.98268,112.50965
4621,2025-05-06,12:55,112.825,112.87,112.62,112.63,1059865.0,44.052843,113.00045437,112.92035,-0.0047792658,0.026241813,-0.031021079,2.5209,16.10632,12.80578,-112.70888,0.34612679,113.4646,112.97618,112.48777
4622,2025-05-06,13:00,112.63,113.07249949999999,112.61,112.9075,2305709.0,48.016864999999996,112.950655,112.92178999999999,-0.11409119749999999,-0.119698182,0.0056069855000000016,46.60586515,39.53749,13.924205,-35.478515,0.48850398500000003,114.103455,112.9926275,111.881805
4623,2025-05-06,13:05,112.845,113.115,112.8301,113.019997,993198.0,51.49921,112.95602,112.92902,-0.0026233063,0.014470735,-0.017094042,35.29389,19.60772,11.38836,6.14342,0.34665286,113.45382,112.96468,112.47555
4624,2025-05-06,13:10,113.020302,113.050003,112.84,112.965,809892.0,50.43687,112.95014,112.93622,-0.0002252088,0.011531547,-0.011756755,30.67203,28.99143,10.89436,-7.52559,0.33689242,113.44665,112.95968,112.47271
4625,2025-05-06,13:15,112.97,113.12,112.80000000000001,112.9749995,1630811.5,49.46374,112.96098,112.944405,-0.0988087555,-0.11840537749999999,0.019596618950000002,52.908765,50.8171955,12.846189644999999,8.909839999999999,0.469731035,114.02323000000001,112.956755,111.89027999999999
4626,2025-05-06,13:20,113.029999,113.040001,112.67,112.809,1046469.0,47.27644,112.89544,112.92578,-0.0053293962,0.0074089648,-0.012738361,18.42566,28.4107,10.35919,-50.34809,0.32951474,113.44461,112.95813,112.47166
4627,2025-05-06,13:25,112.799,112.99,112.67,112.92,973184.0,49.6108,112.88544,112.92462,-0.0059496287,0.0047372461,-0.010686875,37.1255,30.56186,10.050612,-42.57901,0.32883509,113.44597,112.96213,112.4783
4628,2025-05-06,13:30,112.93,113.32333133333333,112.78333333333335,113.17000033333333,5030414.333333333,51.37408766666667,113.13609000000001,113.09590666666666,0.14383656163333336,0.24183836596666666,-0.09800180266666668,57.449549999999995,52.425293333333336,14.40169,-8.730913333333335,0.7099859366666667,114.43395,113.21919333333334,112.00444
4629,2025-05-06,13:35,113.050003,113.099998,112.84,112.86,796727.0,48.25944,112.90267,112.93016,-0.0040179072,0.0027410729,-0.00675898,31.64553,41.067128,8.9786,-25.44402,0.31404625,113.44344,112.98638,112.52933
4630,2025-05-06,13:40,112.855,112.87,112.72,112.79,792062.0,46.82063,112.92044,112.90213,-0.015215195,-0.00085018078,-0.014365015,22.78482,36.2869,9.10433,-86.53132,0.30232877,113.44449,112.98063,112.51678
4631,2025-05-06,13:45,112.79,113.00309999999999,112.7347,112.88730000000001,1842773.5,48.15881,112.94173,112.90034,-0.10367248300000001,-0.11646183589999999,0.012789351000000001,30.753985,39.2702395,11.140895,-26.89412,0.436444885,113.81814,112.90225000000001,111.986355
4632,2025-05-06,13:50,112.9,113.050003,112.865,112.98,795491.0,51.21101,112.92151,112.9173,-0.0083736782,-0.0046303531,-0.0037433251,72.54925,44.15397,8.35931,-4.47884,0.28682975,113.26532,112.95838,112.65145
4633,2025-05-06,13:55,112.98,113.0765,112.83,112.875,809794.0,48.71458,112.91151,112.90884,-0.011406704,-0.0059856233,-0.0054210809,51.96045,53.87917,7.86281,-13.89513,0.28394892,113.18501,112.93464,112.68427
4634,2025-05-06,14:00,112.88,113.305,112.88,113.1875,2044925.0,52.945175,112.968676,112.96066,-0.07284483665000001,-0.10865487565,0.035810039,65.195545,54.880155,10.448625,82.522975,0.43101044,113.60241,112.85201,112.10161
4635,2025-05-06,14:05,113.1399,113.2387,112.99,113.2387,872451.0,56.74426,112.97148,113.011797,0.030077239,0.0033824947,0.026694744,90.46051,72.89327,8.4458,122.63217,0.29111844,113.25035,112.95668,112.66301
4636,2025-05-06,14:10,113.235,113.27,113.040001,113.235,773997.0,56.64176,113.0064782,113.056437,0.047138569,0.01213371,0.03500486,88.97646,85.23194,8.8365,128.20094,0.28675253,113.2725,112.96236,112.65223
4637,2025-05-06,14:15,113.2313,113.695,113.23,113.64,2698894.5,59.738785,113.0411775,113.137075,0.0018922720000000004,-0.08037548550000001,0.0822677585,94.9225,74.63239,11.774375,199.434825,0.42989614,113.676225,112.86687,112.05752000000001
4638,2025-05-06,14:20,113.605,113.7199,113.52,113.7,1192127.0,65.2718,113.16203,113.27212,0.12891116,0.047801431,0.08110973,98.1041,95.33884,12.16411,267.37735,0.28673376,113.52816,113.016364,112.50457
4639,2025-05-06,14:25,113.695,113.78,113.57,113.68,1388870.0,64.64056,113.26092,113.3537,0.15704962,0.06965107,0.087398555,90.99113,96.010394,13.97066,210.18604,0.28125271,113.6395,113.054364,112.46923
4640,2025-05-06,14:30,113.67,113.99333333333334,113.58666666666666,113.86166666666668,6998507.666666667,59.922874,113.33469033333334,113.41170666666666,0.26410645233333335,0.277068901,-0.012962448666666673,87.66212333333333,79.43318000000001,15.984773333333331,120.36423333333333,0.6675876433333334,114.30548333333333,113.29462466666666,112.28376333333334
4641,2025-05-06,14:35,113.73,113.8,113.56,113.755,1303896.0,66.0025736,113.4393,113.49416,0.20021762,0.11362733,0.086590286,95.8328,93.5431,16.80097,144.55244,0.27026445,113.82228,113.15586,112.48945
4642,2025-05-06,14:40,113.74,113.88,113.6,113.625,1393484.0,61.36923,113.52263,113.52033,0.20239156,0.13138018,0.071011383,78.017403,89.21852,18.080293,121.59598,0.27095976,113.87536,113.19461,112.51387
4643,2025-05-06,14:45,113.62,113.92500000000001,113.58,113.88510099999999,2846621.0,61.400785,113.391885,113.470035,0.1235711675,0.014175345000000006,0.10939582149999999,90.808515,87.79351,16.90679,150.316439,0.405236805,113.935345,113.11738015,112.299415
4644,2025-05-06,14:50,113.725,114.1099,113.66,114.099899,2307406.0,70.12698,113.68278,113.66821,0.24275712,0.16613469,0.076622431,99.27268,87.83527,21.18459,133.34256,0.27571831,114.081495,113.28636,112.49123
4645,2025-05-06,14:55,114.089996,114.12,113.935,114.050102,1472000.0,68.35176,113.77334,113.74459,0.26217257,0.18534227,0.0768303,94.58136,93.35659,23.11386,127.022794,0.2692388,114.18904,113.33737,112.4857
4646,2025-05-06,15:00,114.050003,114.084999,113.84,114.050499,2135180.5,63.609205,113.588955,113.659845,0.18461470400000002,0.06360848999999999,0.121006216,94.89952149999999,93.239855,20.11533,147.075075,0.39700359,114.13489609999999,113.25568,112.37646
4647,2025-05-06,15:05,114.035004,114.044998,113.8,113.88,1111928.0,62.16952,113.84112,113.81734,0.2660386,0.2154736,0.050565002,80.6448,89.41637,25.40491,83.83085,0.26092482,114.30778,113.44642,112.58506
4648,2025-05-06,15:10,113.88,114.099998,113.78,114.070999,1119137.0,65.92775,113.88457,113.86807,0.27295178,0.22696924,0.045982547,95.66342,89.77706,26.27333,88.92973,0.26514445,114.37904,113.49797,112.6169
4649,2025-05-06,15:15,114.0755,114.25,114.0049985,114.14000150000001,3068187.5,63.180710000000005,113.70873,113.78243499999999,0.21378513500000002,0.10329857649999999,0.1104865625,91.47591349999999,91.906241,22.07081,141.7570988,0.38753659,114.29982,113.37458,112.44933499999999
4650,2025-05-06,15:20,114.059998,114.16,113.99,114.1319,1246685.0,66.78325,113.962,113.94994,0.27749198,0.24453193,0.032960052,92.97934,91.90407,28.20248,95.8189,0.25270152,114.44424,113.62456,112.80489
4651,2025-05-06,15:25,114.135,114.3,114.074997,114.23,1205962.0,68.66517,114.029222,114.0059553,0.28521871,0.25266929,0.032549426,91.025754,90.35818,29.39155,114.042414,0.25072328,114.47998,113.69109,112.90219
4652,2025-05-06,15:30,114.2314,114.64333333333333,113.90333333333335,114.18333333333334,7731561.0,63.656196666666666,113.75577666666668,113.83942466666667,0.3751799966666667,0.3736836986666667,0.0014962996666666728,86.25986,88.01751999999999,22.421164,109.71156978,0.6558485500000001,114.72554333333333,113.64696333333335,112.568383
4653,2025-05-06,15:35,114.435,114.455,114.26,114.3355,1214039.0,68.28765,114.13428,114.13971,0.30766991,0.27187852,0.035791384,82.50032,88.69311,32.52608,123.27895,0.25233274,114.54058,113.83661,113.13264
