datetime,open,high,low,close,volume,RSI_rsi,SMA_sma,EMA_ema,MACD_macd,MACD_macd_signal,MACD_macd_hist,STOCH_slow_k,STOCH_slow_d,ADX_adx,CCI_cci,ATR_atr,BBANDS_upper_band,BBANDS_middle_band,BBANDS_lower_band,Date,Time
2025-05-06 13:00:00,112.63,113.029999,112.61,112.85,1404164,48.37861,112.94491,112.90628,-0.011246025,0.018744246,-0.029990270,21.0083603,14.14555,11.92037,-57.55451,0.35140332,113.45793,112.96718,112.47644,2025-05-06,13:00
2025-05-06 13:05:00,112.845,113.115,112.8301,113.019997,993198,51.49921,112.95602,112.92902,-0.0026233063,0.014470735,-0.017094042,35.29389,19.60772,11.38836,6.14342,0.34665286,113.45382,112.96468,112.47555,2025-05-06,13:05
2025-05-06 13:10:00,113.020302,113.050003,112.84,112.965,809892,50.43687,112.95014,112.93622,-0.00022520880,0.011531547,-0.011756755,30.67203,28.99143,10.89436,-7.52559,0.33689242,113.44665,112.95968,112.47271,2025-05-06,13:10
2025-05-06 13:15:00,112.97,113.12,112.93,113.029999,620985,51.70485,112.94000,112.95497,0.0068415890,0.010593555,-0.0037519661,36.13441,34.033441,10.69150,24.10805,0.32640028,113.44455,112.95843,112.47232,2025-05-06,13:15
2025-05-06 13:20:00,113.029999,113.040001,112.67,112.809,1046469,47.27644,112.89544,112.92578,-0.0053293962,0.0074089648,-0.012738361,18.42566,28.41070,10.35919,-50.34809,0.32951474,113.44461,112.95813,112.47166,2025-05-06,13:20
2025-05-06 13:25:00,112.799,112.99,112.67,112.92,973184,49.61080,112.88544,112.92462,-0.0059496287,0.0047372461,-0.010686875,37.12550,30.56186,10.050612,-42.57901,0.32883509,113.44597,112.96213,112.47830,2025-05-06,13:25
2025-05-06 13:30:00,112.93,113.089996,112.91,113.040001,803569,52.080963,112.89878,112.94770,0.0032051049,0.0044308179,-0.0012257130,54.43036,36.66051,9.34765,14.65987,0.31820349,113.44752,112.97988,112.51225,2025-05-06,13:30
2025-05-06 13:35:00,113.050003,113.099998,112.84,112.86,796727,48.25944,112.90267,112.93016,-0.0040179072,0.0027410729,-0.0067589800,31.64553,41.067128,8.97860,-25.44402,0.31404625,113.44344,112.98638,112.52933,2025-05-06,13:35
2025-05-06 13:40:00,112.855,112.87,112.72,112.79,792062,46.82063,112.92044,112.90213,-0.015215195,-0.00085018078,-0.014365015,22.78482,36.28690,9.10433,-86.53132,0.30232877,113.44449,112.98063,112.51678,2025-05-06,13:40
2025-05-06 13:45:00,112.79,112.9297,112.7347,112.8996,1040131,49.36598,112.92595,112.90162,-0.015071886,-0.0036945218,-0.011377364,37.12782,30.51939,8.94128,-64.63307,0.29466241,113.43300,112.99337,112.55373,2025-05-06,13:45
2025-05-06 13:50:00,112.9,113.050003,112.865,112.98,795491,51.21101,112.92151,112.91730,-0.0083736782,-0.0046303531,-0.0037433251,72.54925,44.15397,8.35931,-4.47884,0.28682975,113.26532,112.95838,112.65145,2025-05-06,13:50
2025-05-06 13:55:00,112.98,113.0765,112.83,112.875,809794,48.71458,112.91151,112.90884,-0.011406704,-0.0059856233,-0.0054210809,51.96045,53.87917,7.86281,-13.89513,0.28394892,113.18501,112.93464,112.68427,2025-05-06,13:55
2025-05-06 14:00:00,112.88,113.305,112.88,113.14,1221701,54.71445,112.92373,112.95507,0.0074865367,-0.0032911913,0.010777728,76.25885,66.92285,8.16510,103.56260,0.29438116,113.21134,112.94564,112.67994,2025-05-06,14:00
2025-05-06 14:05:00,113.1399,113.2387,112.99,113.2387,872451,56.74426,112.97148,113.011797,0.030077239,0.0033824947,0.026694744,90.46051,72.89327,8.44580,122.63217,0.29111844,113.25035,112.95668,112.66301,2025-05-06,14:05
2025-05-06 14:10:00,113.235,113.27,113.040001,113.235,773997,56.64176,113.0064782,113.056437,0.047138569,0.012133710,0.035004860,88.97646,85.23194,8.83650,128.20094,0.28675253,113.27250,112.96236,112.65223,2025-05-06,14:10
2025-05-06 14:15:00,113.2313,113.61,113.23,113.6,1408396,63.62219,113.068700,113.16515,0.089085155,0.027523999,0.061561157,98.93595,92.79097,10.39874,262.76281,0.29341287,113.38648,112.98186,112.57725,2025-05-06,14:15
2025-05-06 14:20:00,113.605,113.7199,113.52,113.7,1192127,65.27180,113.16203,113.27212,0.12891116,0.047801431,0.081109730,98.10410,95.33884,12.16411,267.37735,0.28673376,113.52816,113.016364,112.50457,2025-05-06,14:20
2025-05-06 14:25:00,113.695,113.78,113.57,113.68,1388870,64.64056,113.26092,113.35370,0.15704962,0.069651070,0.087398555,90.99113,96.010394,13.97066,210.18604,0.28125271,113.63950,113.054364,112.46923,2025-05-06,14:25
2025-05-06 14:30:00,113.67,113.8,113.64,113.73,1106405,65.53806,113.35319,113.42896,0.18129454,0.091979763,0.089314774,93.80536,94.30020,15.70523,178.53616,0.27259207,113.74380,113.099614,112.45543,2025-05-06,14:30
2025-05-06 14:35:00,113.73,113.8,113.56,113.755,1303896,66.0025736,113.43930,113.49416,0.20021762,0.11362733,0.086590286,95.83280,93.54310,16.80097,144.55244,0.27026445,113.82228,113.15586,112.48945,2025-05-06,14:35
2025-05-06 14:40:00,113.74,113.88,113.6,113.625,1393484,61.36923,113.52263,113.52033,0.20239156,0.13138018,0.071011383,78.017403,89.21852,18.080293,121.59598,0.27095976,113.87536,113.19461,112.51387,2025-05-06,14:40
2025-05-06 14:45:00,113.62,113.73,113.58,113.7201,956918,63.39375,113.58709,113.56029,0.20937470,0.14697908,0.062395613,86.21574,86.68865,19.13246,99.096298,0.26231989,113.94211,113.22962,112.51713,2025-05-06,14:45
2025-05-06 14:50:00,113.725,114.1099,113.66,114.099899,2307406,70.12698,113.68278,113.66821,0.24275712,0.16613469,0.076622431,99.27268,87.83527,21.18459,133.34256,0.27571831,114.081495,113.28636,112.49123,2025-05-06,14:50
2025-05-06 14:55:00,114.089996,114.12,113.935,114.050102,1472000,68.35176,113.77334,113.74459,0.26217257,0.18534227,0.076830300,94.58136,93.35659,23.11386,127.022794,0.26923880,114.18904,113.33737,112.48570,2025-05-06,14:55
2025-05-06 15:00:00,114.050003,114.07,113.9,114.029999,1019648,67.60769,113.82112,113.80167,0.27279268,0.20283235,0.069960332,93.022953,95.62566,24.65946,107.61707,0.26215018,114.26476,113.39842,112.53208,2025-05-06,15:00
2025-05-06 15:05:00,114.035004,114.044998,113.8,113.88,1111928,62.16952,113.84112,113.81734,0.26603860,0.21547360,0.050565002,80.64480,89.41637,25.40491,83.83085,0.26092482,114.30778,113.44642,112.58506,2025-05-06,15:05
2025-05-06 15:10:00,113.88,114.099998,113.78,114.070999,1119137,65.92775,113.88457,113.86807,0.27295178,0.22696924,0.045982547,95.66342,89.77706,26.27333,88.92973,0.26514445,114.37904,113.49797,112.61690,2025-05-06,15:10
2025-05-06 15:15:00,114.0755,114.2,114.019997,114.050003,1841864,65.16142,113.92012,113.90445,0.27358263,0.23629192,0.037290715,87.069447,87.79256,27.38867,99.51055,0.25906273,114.41868,113.55747,112.69626,2025-05-06,15:15
